filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s16.00.mhz.1974-12-12HR02_evid00168,1974-12-12T14:55:37.494913,45614.03773584906
xa.s16.00.mhz.1974-12-12HR02_evid00168,1974-12-12T15:54:19.306234,49135.84905660377
xa.s16.00.mhz.1974-12-12HR02_evid00168,1974-12-12T15:56:22.174158,49258.71698113208
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T04:25:45.711547,15945.207547169812
xa.s16.00.mhz.1973-07-31HR00_evid00123,1973-07-31T09:55:31.999698,35731.47169811321
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T13:01:26.563679,46886.188679245286
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T20:19:24.752358,73164.37735849057
xa.s16.00.mhz.1977-06-02HR00_evid00255,1977-06-02T12:34:50.579094,45290.41509433962
xa.s16.00.mhz.1977-06-02HR00_evid00255,1977-06-02T14:27:01.145132,52020.981132075474
xa.s16.00.mhz.1977-06-02HR00_evid00255,1977-06-02T17:34:10.880981,63250.71698113208
xa.s16.00.mhz.1977-04-17HR00_evid00249,1977-04-17T10:32:36.629415,37956.22641509434
xa.s16.00.mhz.1977-04-17HR00_evid00249,1977-04-17T13:42:24.403000,49344.0
xa.s16.00.mhz.1977-04-17HR00_evid00249,1977-04-17T15:14:40.704887,54880.301886792455
xa.s16.00.mhz.1977-04-17HR00_evid00249,1977-04-17T23:38:09.459604,85089.05660377358
xa.s16.00.mhz.1974-12-25HR00_evid00174,1974-12-25T15:16:08.502000,54968.0
xa.s16.00.mhz.1974-12-25HR00_evid00174,1974-12-25T21:27:01.332189,77220.83018867925
xa.s16.00.mhz.1974-12-15HR00_evid00172,1974-12-15T09:11:06.028434,33065.50943396227
xa.s16.00.mhz.1975-03-26HR00_evid00186,1975-03-26T15:18:58.858481,54920.90566037736
xa.s16.00.mhz.1975-03-26HR00_evid00186,1975-03-26T15:56:24.292444,57166.339622641506
xa.s16.00.mhz.1975-03-26HR00_evid00186,1975-03-26T20:08:44.971689,72307.01886792453
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T04:49:08.714415,17348.22641509434
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T08:58:39.129509,32318.64150943396
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T09:52:30.525736,35550.03773584906
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T10:06:06.676679,36366.188679245286
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T11:06:21.016302,39980.52830188679
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T17:00:54.374792,61253.88679245283
xa.s16.00.mhz.1972-11-14HR00_evid00081,1972-11-14T07:48:02.460151,28082.264150943396
xa.s16.00.mhz.1972-11-14HR00_evid00081,1972-11-14T17:38:55.592226,63535.3962264151
xa.s16.00.mhz.1972-11-08HR00_evid00080,1972-11-08T18:44:07.291453,67446.7924528302
xa.s16.00.mhz.1974-05-19HR00_evid00146,1974-05-19T19:16:15.999226,69375.39622641509
xa.s16.00.mhz.1975-02-19HR00_evid00180,1975-02-19T14:03:57.537132,50636.981132075474
xa.s16.00.mhz.1975-02-19HR00_evid00180,1975-02-19T23:12:09.763547,83529.2075471698
