filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T02:32:56.643943,9176.150943396226
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T02:48:23.587340,10103.094339622641
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T03:01:16.417528,10875.924528301886
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T03:08:13.172245,11292.67924528302
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T17:39:07.511868,63547.018867924526
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T23:24:47.285453,84286.7924528302
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T23:27:36.191113,84455.69811320755
xa.s15.00.mhz.1975-05-20HR00_evid00653,1975-05-20T23:33:52.342057,84831.84905660378
xa.s15.00.mhz.1974-02-06HR00_evid00497,1974-02-06T00:56:57.322717,3416.754716981132
xa.s15.00.mhz.1974-02-06HR00_evid00497,1974-02-06T13:48:57.020830,49736.45283018868
xa.s15.00.mhz.1974-02-06HR00_evid00497,1974-02-06T18:16:25.775547,65785.2075471698
xa.s15.00.mhz.1974-02-06HR00_evid00497,1974-02-06T20:18:58.077434,73137.50943396226
xa.s15.00.mhz.1974-06-30HR00_evid00542,1974-06-30T18:52:50.344321,67969.81132075471
xa.s15.00.mhz.1974-06-16HR00_evid00536,1974-06-16T19:34:42.908038,70482.56603773584
xa.s15.00.mhz.1974-06-16HR00_evid00536,1974-06-16T20:59:53.398604,75593.05660377358
